user_id,session_count,avg_session_duration,feature_1_usage,feature_2_usage,total_actions,last_active_days_ago,crash_count,feedback_submitted,device_type,gender,education,age,mode,churned
U0001,12,7.43,2,7,189,18,0,0,Android,female,JEE,28,0,1
U0002,6,7.44,3,3,171,4,0,0,Android,male,college,30,1,0
U0003,11,6.88,7,3,489,22,1,0,iOS,female,college,18,1,1
U0004,14,6.04,5,4,294,26,0,0,Android,male,college,23,1,1
U0005,7,7.35,5,5,70,21,0,1,Android,female,NEET,23,1,1
U0006,8,7.18,4,7,94,17,1,0,Android,male,JEE,5,1,1
U0007,9,5.29,5,6,44,0,0,0,Android,male,NEET,28,1,1
U0008,11,4.85,5,7,499,20,1,1,iOS,female,NEET,19,0,1
U0009,8,6.2,3,3,14,20,1,0,Android,female,JEE,29,1,1
U0010,10,9.1,3,7,85,27,1,0,iOS,male,school,14,0,1
U0011,7,3.52,6,8,262,15,1,0,Android,male,school,19,0,1
U0012,11,3.06,6,7,16,15,1,1,Android,male,school,22,1,1
U0013,11,6.33,4,9,178,15,0,0,iOS,male,school,27,1,1
U0014,8,6.1,9,7,139,27,1,0,iOS,female,school,21,0,1
U0015,12,6.35,6,10,482,21,0,0,iOS,male,JEE,19,1,1
U0016,6,6.49,5,6,147,18,1,0,iOS,female,school,13,1,1
U0017,7,5.55,5,8,367,15,1,0,Android,male,school,8,1,1
U0018,8,8.98,4,2,309,0,1,0,Android,female,college,25,1,0
U0019,10,2.8,10,4,335,19,0,0,iOS,female,JEE,20,0,1
U0020,5,4.34,6,6,100,19,1,0,Android,male,school,5,1,1
U0021,3,5.79,2,10,172,9,2,0,Android,female,school,17,1,0
U0022,9,2.71,4,5,327,1,1,0,Android,male,school,19,1,1
U0023,13,5.65,3,12,467,13,1,0,iOS,male,JEE,26,1,1
U0024,8,9.32,2,3,262,7,1,1,iOS,female,school,19,1,1
U0025,6,6.04,5,12,210,5,0,1,iOS,male,college,17,1,1
U0026,13,6.46,6,6,29,27,1,1,iOS,male,college,28,0,1
U0027,12,3.48,5,7,238,2,0,0,iOS,female,JEE,22,1,0
U0028,13,4.77,10,11,172,15,0,0,iOS,female,JEE,26,1,1
U0029,9,5.25,5,5,174,16,0,0,iOS,female,JEE,9,1,1
U0030,14,5.36,5,4,241,11,0,0,Android,female,NEET,21,1,1
U0031,8,8.56,4,4,337,26,0,0,Android,female,JEE,15,1,1
U0032,8,7.12,4,10,247,18,0,0,iOS,male,JEE,28,1,1
U0033,12,3.78,3,3,129,23,0,0,Android,female,college,29,1,1
U0034,15,6.49,6,4,447,19,0,0,Android,male,school,30,1,1
U0035,13,7,4,11,360,2,1,0,iOS,male,NEET,15,0,0
U0036,13,8.28,2,5,392,12,0,0,Android,male,college,18,1,1
U0037,10,9.16,9,8,378,15,1,0,Android,male,JEE,13,0,1
U0038,8,3.97,5,6,116,10,1,0,iOS,female,school,27,1,1
U0039,15,4.38,9,8,259,19,0,1,iOS,female,NEET,29,1,1
U0040,9,3.48,5,8,345,26,2,0,Android,male,college,24,0,1
U0041,7,5.53,5,8,293,15,0,0,iOS,male,NEET,18,0,1
U0042,8,6.93,1,5,207,19,1,1,iOS,male,JEE,23,1,1
U0043,13,7.97,5,4,425,1,1,0,Android,female,NEET,17,0,0
U0044,15,5.85,8,10,229,3,0,0,iOS,female,NEET,20,1,0
U0045,8,5.36,6,5,404,26,0,0,Android,male,college,16,0,1
U0046,7,6.3,2,11,435,27,0,0,iOS,male,school,13,1,1
U0047,9,4.33,5,7,160,24,0,0,Android,female,college,16,1,1
U0048,6,10.18,5,5,295,3,1,0,iOS,male,school,10,1,0
U0049,16,2.78,4,9,274,27,1,0,Android,male,school,27,1,1
U0050,10,6.37,6,7,229,16,0,1,iOS,female,JEE,16,1,1
U0051,18,10.05,5,10,225,0,0,0,Android,female,school,5,1,1
U0052,10,6.01,6,4,324,0,0,0,iOS,male,NEET,14,1,1
U0053,8,5.62,5,3,165,29,1,0,Android,female,JEE,23,1,1
U0054,11,5.29,4,8,225,4,0,0,iOS,male,school,28,1,0
U0055,3,5.64,7,10,344,21,0,1,Android,male,college,10,1,1
U0056,15,8.75,5,7,368,11,0,0,Android,male,NEET,23,1,1
U0057,6,1.58,7,4,123,5,1,1,iOS,female,NEET,10,1,1
U0058,7,9.07,6,7,170,5,1,0,iOS,female,JEE,26,0,1
U0059,9,3.15,4,7,312,24,0,1,Android,male,college,26,0,1
U0060,11,5.47,8,11,107,16,0,0,iOS,female,school,20,1,1
U0061,8,5.14,4,8,415,25,1,0,Android,male,school,24,1,1
U0062,12,7.18,3,1,166,21,0,1,Android,male,college,26,1,1
U0063,10,2.8,5,10,171,12,0,1,Android,female,college,5,0,1
U0064,11,6.92,10,9,51,7,0,0,Android,male,JEE,17,1,1
U0065,12,10.05,6,11,189,23,0,1,Android,male,JEE,23,1,1
U0066,16,3.27,4,4,312,11,0,0,Android,male,JEE,15,1,1
U0067,8,6.38,3,8,339,14,0,0,iOS,male,college,17,1,1
U0068,7,4.68,3,7,60,18,0,0,Android,female,college,26,0,1
U0069,13,6.85,5,9,261,28,0,1,Android,female,NEET,21,0,1
U0070,10,6.04,2,7,438,20,0,1,Android,female,JEE,27,1,1
U0071,15,4.72,6,16,359,25,1,0,Android,female,school,28,1,1
U0072,8,6.98,2,4,129,19,1,0,Android,female,JEE,16,0,1
U0073,11,9.61,5,10,84,27,1,0,iOS,female,school,22,1,1
U0074,11,5.62,2,5,171,16,1,0,iOS,male,NEET,20,0,1
U0075,5,7.44,6,6,158,8,0,0,Android,female,school,21,1,0
U0076,10,3.41,3,5,132,20,1,0,Android,female,school,29,1,1
U0077,11,4.09,5,2,150,17,1,0,Android,female,JEE,17,1,1
U0078,12,6.94,2,5,191,27,0,0,iOS,female,NEET,17,1,1
U0079,8,8.97,6,2,418,1,0,0,iOS,female,NEET,18,1,0
U0080,11,6.71,6,7,387,10,1,1,Android,male,JEE,15,1,0
U0081,11,5.37,7,12,286,22,1,0,iOS,female,college,25,1,1
U0082,5,6,6,5,266,19,1,0,Android,male,JEE,21,1,1
U0083,8,3.5,6,7,451,16,0,0,Android,male,JEE,7,1,1
U0084,13,7.21,4,10,334,20,0,0,iOS,female,school,18,1,1
U0085,11,7.76,4,7,254,17,0,0,iOS,male,NEET,27,1,1
U0086,7,5.1,7,6,95,14,0,0,iOS,female,college,18,0,1
U0087,8,5.06,5,9,80,6,0,1,iOS,female,JEE,19,1,1
U0088,11,6.53,5,12,278,15,0,0,iOS,male,school,16,1,1
U0089,15,5.13,8,11,189,24,0,0,Android,male,college,17,1,1
U0090,8,5.87,4,7,288,28,0,0,iOS,male,college,24,1,1
U0091,14,10.2,2,11,158,0,0,0,Android,male,JEE,18,1,0
U0092,6,5.51,3,9,15,27,0,1,iOS,female,college,21,1,1
U0093,16,5.28,4,10,157,17,2,1,Android,male,JEE,15,0,1
U0094,11,4.7,6,13,341,26,2,0,iOS,female,school,18,1,1
U0095,6,7.49,9,7,177,21,0,0,iOS,male,JEE,6,1,1
U0096,14,5.64,3,4,18,7,1,1,Android,male,NEET,24,0,0
